city,region,province_or_prefecture,commune,prefecture_arrondissement,arrondissement,bureau_etat_civil,source_url,extraction_method,confidence,notes
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,AIN CHOCK  (CENTRAL),https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,AL HOUSNA NORD,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,AL MOUSTAKBAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,ALHOUSNA SUD,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,ANNEXE ADMINISTRATIVE AIN CHOK,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,BIN LAMDOUNE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,CALIFORNIE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,CHRIFA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,JNANAT,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,LAMSALLA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
